Degree,Part No.,Strip No. on part,Set No.,Laser Power (W),Scanning Speed (mm/s),Hatch Space (mm),W_mean (µm),D_mean (µm),Energy Density E=P/(v*h*t) (J/mm3),OT_Max (0-255),OT_Int (0-255),MPM_on (0-255),MPM_off (0-255),opt_on (0-255),opt_off (0-255),Calib_on,Calib_off
75,3,3,90,333,1755,0.143,98.50541063,110.6067251,44.229275,6.207473508,12.55691489,134.7912721,162.6220667,170.4395793,152.7110491,4.506238749,6.0678089
45,5,2,91,370,715,0.117,198.5603227,294.9098244,147.4309167,17.34317549,28.61132813,151.96633,106.4352332,164.2948406,136.4253551,12.93651833,10.91149558
75,3,2,92,370,715,0.143,160.8668381,296.5315571,120.6252955,15.32792389,22.29883227,153.2462745,115.5639216,173.013807,166.8400446,12.3880549,9.687594051
45,5,1,93,370,845,0.117,201.9419079,260.0299953,124.7492372,16.68798665,16.88916016,158.1234802,111.985725,162.7876679,142.5075536,11.49524294,9.299681446
75,3,1,94,370,845,0.143,160.84051,272.804447,102.0675577,13.89385475,20.31531532,153.6053354,118.0133386,170.0245043,174.4610804,10.69148608,8.005267161
55,4,5,95,370,975,0.117,176.8651862,268.3675182,108.1160056,14.82870644,19.74260679,156.3700962,112.2609178,169.5588997,117.5864769,9.458635677,9.79189154
55,4,4,96,370,975,0.143,158.6961865,235.8097447,88.45855,12.37200957,18.40628386,161.1202275,116.1608448,169.657156,125.7088996,9.740320968,9.477398051
85,2,5,97,370,1105,0.117,130.169797,193.5552077,95.39647549,13.16743383,16.85644637,160.5618182,167.1727273,167.4936055,136.2760496,8.675245388,11.10154986
55,4,3,98,370,1105,0.143,134.8436215,189.573104,78.05166176,11.22985782,16.03723987,161.8806568,131.4905887,168.088877,133.1989162,8.715528034,8.933706913
85,2,4,99,370,1235,0.117,116.6635956,146.1204349,85.35474123,11.10505166,15.73767798,166.0689139,194.7602996,172.2341257,150.3003524,7.807323644,10.49236711
55,4,2,100,370,1235,0.143,116.1410931,168.5831355,69.83569737,9.452014218,13.89724175,156.6803746,146.0789902,168.1650761,141.9236403,7.544176415,8.33424107
85,2,3,101,370,1365,0.117,105.2259533,147.4933599,77.22571825,9.851645287,14.47382623,158.0304923,190.2292432,170.3489412,162.3519334,6.796241503,8.583949696
55,4,1,102,370,1365,0.143,107.9316002,125.5320776,63.18467857,8.565632458,11.30335861,153.5137157,150.0369909,168.3600461,150.6974822,6.679985138,7.293898204
85,2,2,103,370,1495,0.117,99.55814836,160.0660216,70.5104384,9.562395076,12.79189485,153.3057325,192.1521169,169.8117538,173.7718194,6.038783429,7.396472253
85,2,1,104,370,1495,0.143,98.30135015,146.271359,57.69035869,8.152785438,10.77934018,154.0033656,189.2246529,171.2899615,185.0313641,6.013912535,6.840552399
65,3,5,105,370,1625,0.117,116.4394947,130.0944149,64.86960333,9.766605728,12.53900325,155.9895717,175.1523277,172.2508989,124.1203523,5.572892985,8.683994673
65,3,4,106,370,1625,0.143,103.37862,123.9349143,53.07513,8.099520384,11.20591457,148.7176093,167.3309266,174.9901456,134.5043857,5.229924718,7.655726421
65,3,3,107,370,1755,0.117,106.0347644,113.1862652,60.06444753,8.278962536,11.74797188,150.221526,167.4445264,174.0419873,142.7638382,4.918141445,6.683063985
65,3,2,108,370,1755,0.143,97.33078457,123.7048703,49.14363889,7.380382775,10.73986857,144.2914742,163.6081478,173.0278841,151.162454,4.751682924,6.16714094
65,3,1,109,370,1300,0.13,111.9619348,151.703125,72.97830375,10.93235832,14.16976999,158.9632052,157.8156173,172.4772044,159.118343,7.08959709,7.629329616
45,4,5,110,370,1300,0.13,118.8983775,162.4157652,72.97830375,10.26440678,14.06929047,158.1376394,155.6883217,174.3642835,123.2671043,6.976448133,9.715507489
